GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0007160	cell-matrix adhesion	60	9	0.98	5.3e-07	ENSDARG00000002494,ENSDARG00000009387,ENSDARG00000011299,ENSDARG00000012942,ENSDARG00000016939,ENSDARG00000019117,ENSDARG00000021789,ENSDARG00000022689,ENSDARG00000028222,ENSDARG00000028507,ENSDARG00000028533,ENSDARG00000029296,ENSDARG00000031588,ENSDARG00000040985,ENSDARG00000044318,ENSDARG00000044433,ENSDARG00000045070,ENSDARG00000045420,ENSDARG00000053232,ENSDARG00000055539,ENSDARG00000055632,ENSDARG00000056767,ENSDARG00000056964,ENSDARG00000059558,ENSDARG00000060415,ENSDARG00000061862,ENSDARG00000063444,ENSDARG00000068710,ENSDARG00000071863,ENSDARG00000074275,ENSDARG00000075707,ENSDARG00000075752,ENSDARG00000076386,ENSDARG00000079336,ENSDARG00000080675,ENSDARG00000089271,ENSDARG00000097080,ENSDARG00000097539,ENSDARG00000098256,ENSDARG00000098736,ENSDARG00000098949,ENSDARG00000100106,ENSDARG00000100190,ENSDARG00000100739,ENSDARG00000101200,ENSDARG00000103129,ENSDARG00000103498,ENSDARG00000103542,ENSDARG00000103650,ENSDARG00000103774,ENSDARG00000104324,ENSDARG00000104484,ENSDARG00000104642,ENSDARG00000105341,ENSDARG00000105391,ENSDARG00000107053,ENSDARG00000109929,ENSDARG00000113076,ENSDARG00000115301,ENSDARG00000116430
GO:0042593	glucose homeostasis	49	7	0.8	1.4e-05	ENSDARG00000002779,ENSDARG00000004415,ENSDARG00000006011,ENSDARG00000011219,ENSDARG00000011948,ENSDARG00000013128,ENSDARG00000013522,ENSDARG00000014527,ENSDARG00000016904,ENSDARG00000020876,ENSDARG00000020956,ENSDARG00000023058,ENSDARG00000024619,ENSDARG00000027423,ENSDARG00000034434,ENSDARG00000035970,ENSDARG00000036754,ENSDARG00000038703,ENSDARG00000039452,ENSDARG00000042904,ENSDARG00000043130,ENSDARG00000043509,ENSDARG00000046074,ENSDARG00000054848,ENSDARG00000055792,ENSDARG00000056859,ENSDARG00000058646,ENSDARG00000059054,ENSDARG00000061549,ENSDARG00000062897,ENSDARG00000068006,ENSDARG00000069018,ENSDARG00000069726,ENSDARG00000071524,ENSDARG00000074617,ENSDARG00000077047,ENSDARG00000086104,ENSDARG00000086620,ENSDARG00000099182,ENSDARG00000099362,ENSDARG00000099555,ENSDARG00000099791,ENSDARG00000100349,ENSDARG00000100486,ENSDARG00000100917,ENSDARG00000101482,ENSDARG00000102335,ENSDARG00000102387,ENSDARG00000116835
GO:1904182	regulation of pyruvate dehydrogenase act...	11	4	0.18	2.1e-05	ENSDARG00000013128,ENSDARG00000014527,ENSDARG00000016904,ENSDARG00000020876,ENSDARG00000054848,ENSDARG00000058571,ENSDARG00000059054,ENSDARG00000062241,ENSDARG00000074690,ENSDARG00000076308,ENSDARG00000099791
GO:0032922	circadian regulation of gene expression	28	5	0.46	8.2e-05	ENSDARG00000001220,ENSDARG00000003820,ENSDARG00000004060,ENSDARG00000010519,ENSDARG00000011703,ENSDARG00000012499,ENSDARG00000027183,ENSDARG00000029544,ENSDARG00000030598,ENSDARG00000033160,ENSDARG00000034503,ENSDARG00000037421,ENSDARG00000040764,ENSDARG00000041691,ENSDARG00000043483,ENSDARG00000044153,ENSDARG00000045131,ENSDARG00000054823,ENSDARG00000055283,ENSDARG00000056885,ENSDARG00000058094,ENSDARG00000077726,ENSDARG00000078525,ENSDARG00000087188,ENSDARG00000088171,ENSDARG00000094965,ENSDARG00000102012,ENSDARG00000111860
GO:0032869	cellular response to insulin stimulus	59	6	0.97	0.00040	ENSDARG00000002013,ENSDARG00000008454,ENSDARG00000011948,ENSDARG00000013522,ENSDARG00000015563,ENSDARG00000015681,ENSDARG00000015970,ENSDARG00000016651,ENSDARG00000017803,ENSDARG00000018060,ENSDARG00000020239,ENSDARG00000020956,ENSDARG00000023058,ENSDARG00000024619,ENSDARG00000026048,ENSDARG00000027423,ENSDARG00000028389,ENSDARG00000029501,ENSDARG00000031119,ENSDARG00000034409,ENSDARG00000034434,ENSDARG00000034771,ENSDARG00000035308,ENSDARG00000036414,ENSDARG00000036865,ENSDARG00000037099,ENSDARG00000038524,ENSDARG00000042904,ENSDARG00000046106,ENSDARG00000052468,ENSDARG00000054087,ENSDARG00000055792,ENSDARG00000057918,ENSDARG00000060330,ENSDARG00000061214,ENSDARG00000061549,ENSDARG00000067920,ENSDARG00000068280,ENSDARG00000068628,ENSDARG00000071524,ENSDARG00000074747,ENSDARG00000075282,ENSDARG00000076634,ENSDARG00000078618,ENSDARG00000079862,ENSDARG00000086551,ENSDARG00000089428,ENSDARG00000091947,ENSDARG00000098984,ENSDARG00000099555,ENSDARG00000099563,ENSDARG00000099730,ENSDARG00000099860,ENSDARG00000100486,ENSDARG00000102387,ENSDARG00000103038,ENSDARG00000103125,ENSDARG00000103380,ENSDARG00000104467
GO:0032496	response to lipopolysaccharide	45	5	0.74	0.00081	ENSDARG00000002355,ENSDARG00000004763,ENSDARG00000018342,ENSDARG00000023526,ENSDARG00000026925,ENSDARG00000029476,ENSDARG00000029766,ENSDARG00000031046,ENSDARG00000031976,ENSDARG00000041959,ENSDARG00000042698,ENSDARG00000043182,ENSDARG00000043531,ENSDARG00000052045,ENSDARG00000057741,ENSDARG00000059006,ENSDARG00000062646,ENSDARG00000067850,ENSDARG00000068910,ENSDARG00000070721,ENSDARG00000074378,ENSDARG00000075045,ENSDARG00000075163,ENSDARG00000075230,ENSDARG00000077308,ENSDARG00000077809,ENSDARG00000078258,ENSDARG00000086254,ENSDARG00000088251,ENSDARG00000088680,ENSDARG00000090953,ENSDARG00000092423,ENSDARG00000098439,ENSDARG00000098700,ENSDARG00000099169,ENSDARG00000100184,ENSDARG00000100899,ENSDARG00000101212,ENSDARG00000102299,ENSDARG00000102514,ENSDARG00000102776,ENSDARG00000104090,ENSDARG00000104773,ENSDARG00000104795,ENSDARG00000116628
GO:0000727	double-strand break repair via break-ind...	12	3	0.2	0.00086	ENSDARG00000002304,ENSDARG00000016044,ENSDARG00000019507,ENSDARG00000023584,ENSDARG00000024204,ENSDARG00000033231,ENSDARG00000037532,ENSDARG00000040041,ENSDARG00000043720,ENSDARG00000057683,ENSDARG00000101180,ENSDARG00000102798
GO:0042752	regulation of circadian rhythm	27	4	0.44	0.00092	ENSDARG00000006125,ENSDARG00000006621,ENSDARG00000008370,ENSDARG00000009594,ENSDARG00000010519,ENSDARG00000012499,ENSDARG00000021882,ENSDARG00000023722,ENSDARG00000031161,ENSDARG00000033160,ENSDARG00000034503,ENSDARG00000036222,ENSDARG00000036227,ENSDARG00000037738,ENSDARG00000044153,ENSDARG00000045164,ENSDARG00000045768,ENSDARG00000053326,ENSDARG00000056885,ENSDARG00000059370,ENSDARG00000062744,ENSDARG00000068374,ENSDARG00000075397,ENSDARG00000078095,ENSDARG00000079802,ENSDARG00000102012,ENSDARG00000103505
GO:0009628	response to abiotic stimulus	327	14	5.36	0.00104	ENSDARG00000000018,ENSDARG00000000857,ENSDARG00000002193,ENSDARG00000002235,ENSDARG00000002385,ENSDARG00000002593,ENSDARG00000003570,ENSDARG00000003631,ENSDARG00000003845,ENSDARG00000004459,ENSDARG00000005775,ENSDARG00000006240,ENSDARG00000006791,ENSDARG00000007198,ENSDARG00000007289,ENSDARG00000007344,ENSDARG00000007371,ENSDARG00000007553,ENSDARG00000007561,ENSDARG00000008127,ENSDARG00000008329,ENSDARG00000008454,ENSDARG00000008818,ENSDARG00000009212,ENSDARG00000009637,ENSDARG00000010478,ENSDARG00000010519,ENSDARG00000010732,ENSDARG00000010745,ENSDARG00000011166,ENSDARG00000011259,ENSDARG00000011703,ENSDARG00000012405,ENSDARG00000012499,ENSDARG00000012504,ENSDARG00000012513,ENSDARG00000012656,ENSDARG00000012827,ENSDARG00000013095,ENSDARG00000013251,ENSDARG00000013351,ENSDARG00000013475,ENSDARG00000013961,ENSDARG00000013997,ENSDARG00000014098,ENSDARG00000014201,ENSDARG00000014218,ENSDARG00000014488,ENSDARG00000014496,ENSDARG00000015404,ENSDARG00000015546,ENSDARG00000015918,ENSDARG00000016536,ENSDARG00000016699,ENSDARG00000016811,ENSDARG00000017180,ENSDARG00000017274,ENSDARG00000017466,ENSDARG00000017676,ENSDARG00000018425,ENSDARG00000018529,ENSDARG00000019498,ENSDARG00000019902,ENSDARG00000020007,ENSDARG00000020574,ENSDARG00000020581,ENSDARG00000020602,ENSDARG00000020621,ENSDARG00000021110,ENSDARG00000021150,ENSDARG00000021555,ENSDARG00000021882,ENSDARG00000021985,ENSDARG00000022098,ENSDARG00000022503,ENSDARG00000023002,ENSDARG00000023151,ENSDARG00000023713,ENSDARG00000024479,ENSDARG00000024746,ENSDARG00000024847,ENSDARG00000025011,ENSDARG00000025032,ENSDARG00000025671,ENSDARG00000026726,ENSDARG00000027234,ENSDARG00000027290,ENSDARG00000027529,ENSDARG00000027822,ENSDARG00000027938,ENSDARG00000028523,ENSDARG00000029150,ENSDARG00000029482,ENSDARG00000029688,ENSDARG00000030417,ENSDARG00000030832,ENSDARG00000030867,ENSDARG00000030972,ENSDARG00000031222,ENSDARG00000031680,ENSDARG00000031875,ENSDARG00000031915,ENSDARG00000031952,ENSDARG00000032246,ENSDARG00000032896,ENSDARG00000032970,ENSDARG00000033029,ENSDARG00000033273,ENSDARG00000034093,ENSDARG00000034293,ENSDARG00000034503,ENSDARG00000034700,ENSDARG00000035559,ENSDARG00000035694,ENSDARG00000035732,ENSDARG00000036168,ENSDARG00000036279,ENSDARG00000036460,ENSDARG00000036567,ENSDARG00000037099,ENSDARG00000037618,ENSDARG00000037738,ENSDARG00000038114,ENSDARG00000038643,ENSDARG00000039117,ENSDARG00000039181,ENSDARG00000039534,ENSDARG00000039851,ENSDARG00000040251,ENSDARG00000040523,ENSDARG00000040822,ENSDARG00000041065,ENSDARG00000041140,ENSDARG00000041381,ENSDARG00000041411,ENSDARG00000041691,ENSDARG00000042141,ENSDARG00000042529,ENSDARG00000042840,ENSDARG00000042873,ENSDARG00000042904,ENSDARG00000043288,ENSDARG00000043339,ENSDARG00000043479,ENSDARG00000043531,ENSDARG00000044010,ENSDARG00000044074,ENSDARG00000044199,ENSDARG00000044267,ENSDARG00000044280,ENSDARG00000044861,ENSDARG00000044862,ENSDARG00000044949,ENSDARG00000045023,ENSDARG00000045296,ENSDARG00000045677,ENSDARG00000045768,ENSDARG00000045808,ENSDARG00000051965,ENSDARG00000052114,ENSDARG00000052223,ENSDARG00000052775,ENSDARG00000053097,ENSDARG00000053279,ENSDARG00000053326,ENSDARG00000053475,ENSDARG00000053711,ENSDARG00000053858,ENSDARG00000053929,ENSDARG00000054087,ENSDARG00000054181,ENSDARG00000054191,ENSDARG00000054323,ENSDARG00000054890,ENSDARG00000054937,ENSDARG00000055723,ENSDARG00000055835,ENSDARG00000056077,ENSDARG00000056206,ENSDARG00000056624,ENSDARG00000056885,ENSDARG00000056984,ENSDARG00000057671,ENSDARG00000058494,ENSDARG00000058780,ENSDARG00000058803,ENSDARG00000059836,ENSDARG00000059883,ENSDARG00000059982,ENSDARG00000060618,ENSDARG00000061338,ENSDARG00000061515,ENSDARG00000061791,ENSDARG00000061941,ENSDARG00000062139,ENSDARG00000062467,ENSDARG00000062585,ENSDARG00000062956,ENSDARG00000063003,ENSDARG00000063026,ENSDARG00000063572,ENSDARG00000067850,ENSDARG00000067975,ENSDARG00000068124,ENSDARG00000068141,ENSDARG00000068940,ENSDARG00000069074,ENSDARG00000069090,ENSDARG00000069282,ENSDARG00000069425,ENSDARG00000069431,ENSDARG00000069640,ENSDARG00000070110,ENSDARG00000070231,ENSDARG00000070433,ENSDARG00000070666,ENSDARG00000070723,ENSDARG00000071551,ENSDARG00000074271,ENSDARG00000074378,ENSDARG00000075230,ENSDARG00000075297,ENSDARG00000075454,ENSDARG00000075530,ENSDARG00000075970,ENSDARG00000076005,ENSDARG00000076169,ENSDARG00000076499,ENSDARG00000076509,ENSDARG00000076554,ENSDARG00000076767,ENSDARG00000076870,ENSDARG00000077526,ENSDARG00000077842,ENSDARG00000078492,ENSDARG00000078500,ENSDARG00000078615,ENSDARG00000078970,ENSDARG00000079045,ENSDARG00000079129,ENSDARG00000079479,ENSDARG00000079802,ENSDARG00000079840,ENSDARG00000086186,ENSDARG00000089042,ENSDARG00000089578,ENSDARG00000090629,ENSDARG00000090814,ENSDARG00000090830,ENSDARG00000090976,ENSDARG00000090997,ENSDARG00000091027,ENSDARG00000091209,ENSDARG00000091377,ENSDARG00000091640,ENSDARG00000092362,ENSDARG00000093864,ENSDARG00000093997,ENSDARG00000094454,ENSDARG00000094557,ENSDARG00000095783,ENSDARG00000097008,ENSDARG00000097292,ENSDARG00000098051,ENSDARG00000098103,ENSDARG00000098257,ENSDARG00000098377,ENSDARG00000098428,ENSDARG00000098481,ENSDARG00000098724,ENSDARG00000099175,ENSDARG00000099207,ENSDARG00000099298,ENSDARG00000099351,ENSDARG00000099362,ENSDARG00000099685,ENSDARG00000099871,ENSDARG00000100020,ENSDARG00000100095,ENSDARG00000100826,ENSDARG00000100916,ENSDARG00000101090,ENSDARG00000101209,ENSDARG00000101214,ENSDARG00000101251,ENSDARG00000101456,ENSDARG00000101794,ENSDARG00000101866,ENSDARG00000101914,ENSDARG00000102277,ENSDARG00000102295,ENSDARG00000102317,ENSDARG00000102335,ENSDARG00000102403,ENSDARG00000102430,ENSDARG00000102773,ENSDARG00000102820,ENSDARG00000103259,ENSDARG00000103505,ENSDARG00000103540,ENSDARG00000103542,ENSDARG00000103574,ENSDARG00000103607,ENSDARG00000103846,ENSDARG00000103994,ENSDARG00000104028,ENSDARG00000104066,ENSDARG00000104071,ENSDARG00000104090,ENSDARG00000104231,ENSDARG00000104344,ENSDARG00000104359,ENSDARG00000104685,ENSDARG00000104686,ENSDARG00000104773,ENSDARG00000104940,ENSDARG00000104949,ENSDARG00000105344,ENSDARG00000105485,ENSDARG00000105648,ENSDARG00000107086,ENSDARG00000111213,ENSDARG00000111860,ENSDARG00000112483,ENSDARG00000115463,ENSDARG00000116584,ENSDARG00000116976
GO:0009437	carnitine metabolic process	13	3	0.21	0.00110	ENSDARG00000016545,ENSDARG00000036135,ENSDARG00000037061,ENSDARG00000037943,ENSDARG00000040248,ENSDARG00000058285,ENSDARG00000059770,ENSDARG00000061660,ENSDARG00000062054,ENSDARG00000069100,ENSDARG00000077547,ENSDARG00000088357,ENSDARG00000098782
