GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0051082	unfolded protein binding	90	7	0.96	5.1e-05	ENSDARG00000003035,ENSDARG00000003570,ENSDARG00000004187,ENSDARG00000007385,ENSDARG00000007409,ENSDARG00000008243,ENSDARG00000009212,ENSDARG00000009315,ENSDARG00000010021,ENSDARG00000010478,ENSDARG00000010745,ENSDARG00000012381,ENSDARG00000013475,ENSDARG00000013997,ENSDARG00000014536,ENSDARG00000015088,ENSDARG00000016139,ENSDARG00000016173,ENSDARG00000017891,ENSDARG00000019339,ENSDARG00000021252,ENSDARG00000021924,ENSDARG00000024317,ENSDARG00000024746,ENSDARG00000025391,ENSDARG00000025549,ENSDARG00000026895,ENSDARG00000029063,ENSDARG00000029150,ENSDARG00000029688,ENSDARG00000030972,ENSDARG00000035043,ENSDARG00000036076,ENSDARG00000037108,ENSDARG00000037403,ENSDARG00000037488,ENSDARG00000038835,ENSDARG00000038978,ENSDARG00000040984,ENSDARG00000041394,ENSDARG00000041530,ENSDARG00000042157,ENSDARG00000043157,ENSDARG00000044431,ENSDARG00000045017,ENSDARG00000045399,ENSDARG00000051762,ENSDARG00000052842,ENSDARG00000052881,ENSDARG00000053502,ENSDARG00000054418,ENSDARG00000054746,ENSDARG00000054827,ENSDARG00000055723,ENSDARG00000056160,ENSDARG00000056167,ENSDARG00000056210,ENSDARG00000058030,ENSDARG00000058475,ENSDARG00000058494,ENSDARG00000058579,ENSDARG00000059097,ENSDARG00000061228,ENSDARG00000062089,ENSDARG00000067796,ENSDARG00000069421,ENSDARG00000076290,ENSDARG00000077950,ENSDARG00000078059,ENSDARG00000087206,ENSDARG00000087767,ENSDARG00000090741,ENSDARG00000092362,ENSDARG00000092798,ENSDARG00000098017,ENSDARG00000098361,ENSDARG00000098376,ENSDARG00000099301,ENSDARG00000099383,ENSDARG00000101380,ENSDARG00000102295,ENSDARG00000102808,ENSDARG00000103234,ENSDARG00000103846,ENSDARG00000103979,ENSDARG00000103994,ENSDARG00000104066,ENSDARG00000104343,ENSDARG00000104674,ENSDARG00000104837
GO:0005507	copper ion binding	39	4	0.42	0.00078	ENSDARG00000003259,ENSDARG00000003699,ENSDARG00000010312,ENSDARG00000014646,ENSDARG00000025089,ENSDARG00000026229,ENSDARG00000026403,ENSDARG00000031136,ENSDARG00000039563,ENSDARG00000043848,ENSDARG00000044010,ENSDARG00000044074,ENSDARG00000045555,ENSDARG00000054451,ENSDARG00000055705,ENSDARG00000058145,ENSDARG00000059231,ENSDARG00000061004,ENSDARG00000061355,ENSDARG00000063908,ENSDARG00000067593,ENSDARG00000069296,ENSDARG00000069446,ENSDARG00000069920,ENSDARG00000070168,ENSDARG00000076306,ENSDARG00000076904,ENSDARG00000076914,ENSDARG00000077306,ENSDARG00000079183,ENSDARG00000087693,ENSDARG00000092003,ENSDARG00000093628,ENSDARG00000096616,ENSDARG00000096849,ENSDARG00000099309,ENSDARG00000100170,ENSDARG00000101385,ENSDARG00000105442
GO:0051787	misfolded protein binding	21	3	0.22	0.00139	ENSDARG00000003035,ENSDARG00000005941,ENSDARG00000010434,ENSDARG00000012381,ENSDARG00000017874,ENSDARG00000021905,ENSDARG00000021924,ENSDARG00000029688,ENSDARG00000033871,ENSDARG00000037403,ENSDARG00000040984,ENSDARG00000041110,ENSDARG00000042401,ENSDARG00000055595,ENSDARG00000055723,ENSDARG00000056210,ENSDARG00000058030,ENSDARG00000075892,ENSDARG00000077531,ENSDARG00000092362,ENSDARG00000103846
GO:0061135	endopeptidase regulator activity	117	6	1.25	0.00162	ENSDARG00000001818,ENSDARG00000002165,ENSDARG00000004296,ENSDARG00000005924,ENSDARG00000007795,ENSDARG00000008434,ENSDARG00000012234,ENSDARG00000012467,ENSDARG00000012694,ENSDARG00000013460,ENSDARG00000014556,ENSDARG00000015065,ENSDARG00000016143,ENSDARG00000016412,ENSDARG00000019949,ENSDARG00000021004,ENSDARG00000021208,ENSDARG00000021720,ENSDARG00000022372,ENSDARG00000026764,ENSDARG00000027423,ENSDARG00000027867,ENSDARG00000028164,ENSDARG00000029353,ENSDARG00000029668,ENSDARG00000033144,ENSDARG00000034168,ENSDARG00000034434,ENSDARG00000034718,ENSDARG00000036445,ENSDARG00000036968,ENSDARG00000038424,ENSDARG00000041645,ENSDARG00000041685,ENSDARG00000042186,ENSDARG00000042684,ENSDARG00000043102,ENSDARG00000043719,ENSDARG00000044619,ENSDARG00000045352,ENSDARG00000045516,ENSDARG00000045517,ENSDARG00000052207,ENSDARG00000053973,ENSDARG00000054864,ENSDARG00000055036,ENSDARG00000055053,ENSDARG00000055416,ENSDARG00000055543,ENSDARG00000056314,ENSDARG00000056530,ENSDARG00000056795,ENSDARG00000057108,ENSDARG00000057263,ENSDARG00000058053,ENSDARG00000058082,ENSDARG00000058560,ENSDARG00000058693,ENSDARG00000059139,ENSDARG00000060609,ENSDARG00000061226,ENSDARG00000061351,ENSDARG00000061383,ENSDARG00000063095,ENSDARG00000069048,ENSDARG00000069192,ENSDARG00000069293,ENSDARG00000069476,ENSDARG00000070396,ENSDARG00000070892,ENSDARG00000070918,ENSDARG00000074166,ENSDARG00000074425,ENSDARG00000075261,ENSDARG00000075621,ENSDARG00000075954,ENSDARG00000076170,ENSDARG00000076321,ENSDARG00000076448,ENSDARG00000077084,ENSDARG00000077139,ENSDARG00000077960,ENSDARG00000078757,ENSDARG00000079388,ENSDARG00000079752,ENSDARG00000087087,ENSDARG00000087143,ENSDARG00000087359,ENSDARG00000089361,ENSDARG00000089640,ENSDARG00000090039,ENSDARG00000090185,ENSDARG00000090286,ENSDARG00000090850,ENSDARG00000091136,ENSDARG00000091609,ENSDARG00000091801,ENSDARG00000093068,ENSDARG00000093198,ENSDARG00000093199,ENSDARG00000095830,ENSDARG00000096888,ENSDARG00000100582,ENSDARG00000100674,ENSDARG00000100781,ENSDARG00000100795,ENSDARG00000102076,ENSDARG00000102332,ENSDARG00000102617,ENSDARG00000104279,ENSDARG00000104721,ENSDARG00000104758,ENSDARG00000111805,ENSDARG00000112419,ENSDARG00000112540,ENSDARG00000117107,ENSDARG00000117133
GO:0016831	carboxy-lyase activity	26	3	0.28	0.00262	ENSDARG00000006818,ENSDARG00000007377,ENSDARG00000012215,ENSDARG00000013522,ENSDARG00000015537,ENSDARG00000016494,ENSDARG00000020956,ENSDARG00000026348,ENSDARG00000027419,ENSDARG00000035869,ENSDARG00000043856,ENSDARG00000052462,ENSDARG00000052789,ENSDARG00000055370,ENSDARG00000056102,ENSDARG00000061375,ENSDARG00000062549,ENSDARG00000062788,ENSDARG00000067805,ENSDARG00000069844,ENSDARG00000071579,ENSDARG00000075454,ENSDARG00000093411,ENSDARG00000099336,ENSDARG00000101886,ENSDARG00000104732
GO:0004197	cysteine-type endopeptidase activity	108	7	1.16	0.00387	ENSDARG00000003902,ENSDARG00000004325,ENSDARG00000005595,ENSDARG00000006052,ENSDARG00000007836,ENSDARG00000008165,ENSDARG00000008553,ENSDARG00000008880,ENSDARG00000010758,ENSDARG00000011701,ENSDARG00000012314,ENSDARG00000012341,ENSDARG00000013708,ENSDARG00000013771,ENSDARG00000014517,ENSDARG00000014531,ENSDARG00000016163,ENSDARG00000017905,ENSDARG00000025608,ENSDARG00000025977,ENSDARG00000027501,ENSDARG00000032327,ENSDARG00000034211,ENSDARG00000035663,ENSDARG00000036940,ENSDARG00000039150,ENSDARG00000040076,ENSDARG00000040251,ENSDARG00000041108,ENSDARG00000041864,ENSDARG00000042753,ENSDARG00000043035,ENSDARG00000043081,ENSDARG00000044373,ENSDARG00000045199,ENSDARG00000045343,ENSDARG00000052039,ENSDARG00000052104,ENSDARG00000052702,ENSDARG00000052748,ENSDARG00000052855,ENSDARG00000052917,ENSDARG00000055045,ENSDARG00000055120,ENSDARG00000055338,ENSDARG00000055550,ENSDARG00000055592,ENSDARG00000055715,ENSDARG00000055966,ENSDARG00000056414,ENSDARG00000056842,ENSDARG00000058325,ENSDARG00000059925,ENSDARG00000060600,ENSDARG00000061138,ENSDARG00000061850,ENSDARG00000062052,ENSDARG00000062148,ENSDARG00000063095,ENSDARG00000068152,ENSDARG00000068431,ENSDARG00000069748,ENSDARG00000070272,ENSDARG00000070368,ENSDARG00000071025,ENSDARG00000071197,ENSDARG00000073710,ENSDARG00000074367,ENSDARG00000074656,ENSDARG00000074802,ENSDARG00000075354,ENSDARG00000075798,ENSDARG00000076634,ENSDARG00000077217,ENSDARG00000077300,ENSDARG00000077664,ENSDARG00000077768,ENSDARG00000077909,ENSDARG00000078109,ENSDARG00000079198,ENSDARG00000086266,ENSDARG00000088078,ENSDARG00000088207,ENSDARG00000089806,ENSDARG00000090301,ENSDARG00000090935,ENSDARG00000091699,ENSDARG00000091723,ENSDARG00000091836,ENSDARG00000091926,ENSDARG00000093405,ENSDARG00000094433,ENSDARG00000095698,ENSDARG00000098239,ENSDARG00000099376,ENSDARG00000100833,ENSDARG00000101051,ENSDARG00000101334,ENSDARG00000102252,ENSDARG00000102645,ENSDARG00000102923,ENSDARG00000102987,ENSDARG00000103317,ENSDARG00000103422,ENSDARG00000104175,ENSDARG00000104367,ENSDARG00000105185,ENSDARG00000112575
GO:0030246	carbohydrate binding	142	6	1.52	0.00427	ENSDARG00000001897,ENSDARG00000003208,ENSDARG00000003829,ENSDARG00000004059,ENSDARG00000004632,ENSDARG00000006094,ENSDARG00000006832,ENSDARG00000008182,ENSDARG00000010085,ENSDARG00000010482,ENSDARG00000011257,ENSDARG00000011821,ENSDARG00000012144,ENSDARG00000012355,ENSDARG00000012745,ENSDARG00000012801,ENSDARG00000012987,ENSDARG00000014179,ENSDARG00000014386,ENSDARG00000014624,ENSDARG00000016011,ENSDARG00000017038,ENSDARG00000018432,ENSDARG00000023448,ENSDARG00000025903,ENSDARG00000028000,ENSDARG00000028088,ENSDARG00000028163,ENSDARG00000032553,ENSDARG00000033382,ENSDARG00000033537,ENSDARG00000034528,ENSDARG00000036061,ENSDARG00000037066,ENSDARG00000037613,ENSDARG00000038153,ENSDARG00000038703,ENSDARG00000038996,ENSDARG00000039099,ENSDARG00000039422,ENSDARG00000039452,ENSDARG00000039892,ENSDARG00000040048,ENSDARG00000040100,ENSDARG00000041060,ENSDARG00000042138,ENSDARG00000042418,ENSDARG00000044001,ENSDARG00000045837,ENSDARG00000045851,ENSDARG00000046142,ENSDARG00000053190,ENSDARG00000053831,ENSDARG00000054202,ENSDARG00000054942,ENSDARG00000055388,ENSDARG00000055490,ENSDARG00000055525,ENSDARG00000056024,ENSDARG00000056211,ENSDARG00000056379,ENSDARG00000057303,ENSDARG00000057630,ENSDARG00000057879,ENSDARG00000059044,ENSDARG00000059049,ENSDARG00000059060,ENSDARG00000059438,ENSDARG00000059630,ENSDARG00000059746,ENSDARG00000060504,ENSDARG00000060656,ENSDARG00000060797,ENSDARG00000061121,ENSDARG00000061140,ENSDARG00000061335,ENSDARG00000061854,ENSDARG00000062562,ENSDARG00000063101,ENSDARG00000063126,ENSDARG00000063636,ENSDARG00000068006,ENSDARG00000069323,ENSDARG00000069356,ENSDARG00000069980,ENSDARG00000071082,ENSDARG00000071212,ENSDARG00000071233,ENSDARG00000074282,ENSDARG00000074285,ENSDARG00000074556,ENSDARG00000075209,ENSDARG00000075899,ENSDARG00000076317,ENSDARG00000076541,ENSDARG00000076811,ENSDARG00000076888,ENSDARG00000077850,ENSDARG00000078135,ENSDARG00000078481,ENSDARG00000078592,ENSDARG00000079043,ENSDARG00000079107,ENSDARG00000079463,ENSDARG00000079835,ENSDARG00000079903,ENSDARG00000086620,ENSDARG00000088663,ENSDARG00000088711,ENSDARG00000089292,ENSDARG00000090624,ENSDARG00000094609,ENSDARG00000094681,ENSDARG00000095963,ENSDARG00000098408,ENSDARG00000099227,ENSDARG00000099755,ENSDARG00000100453,ENSDARG00000100889,ENSDARG00000101214,ENSDARG00000101482,ENSDARG00000101629,ENSDARG00000102200,ENSDARG00000102241,ENSDARG00000102657,ENSDARG00000103026,ENSDARG00000103692,ENSDARG00000103826,ENSDARG00000104016,ENSDARG00000104023,ENSDARG00000104569,ENSDARG00000104752,ENSDARG00000105023,ENSDARG00000105344,ENSDARG00000105746,ENSDARG00000108649,ENSDARG00000108953,ENSDARG00000110756,ENSDARG00000111712,ENSDARG00000112310,ENSDARG00000115545,ENSDARG00000116493
GO:0097199	cysteine-type endopeptidase activity inv...	10	2	0.11	0.00484	ENSDARG00000004325,ENSDARG00000008165,ENSDARG00000052039,ENSDARG00000055966,ENSDARG00000058325,ENSDARG00000068431,ENSDARG00000070272,ENSDARG00000091926,ENSDARG00000094433,ENSDARG00000104367
GO:0005355	glucose transmembrane transporter activi...	11	2	0.12	0.00588	ENSDARG00000001437,ENSDARG00000005518,ENSDARG00000007412,ENSDARG00000013871,ENSDARG00000019932,ENSDARG00000056196,ENSDARG00000058731,ENSDARG00000074212,ENSDARG00000076899,ENSDARG00000077812,ENSDARG00000100919
GO:0044183	protein binding involved in protein fold...	12	2	0.13	0.00701	ENSDARG00000003035,ENSDARG00000012381,ENSDARG00000021924,ENSDARG00000025391,ENSDARG00000029688,ENSDARG00000037403,ENSDARG00000040984,ENSDARG00000055723,ENSDARG00000056210,ENSDARG00000058030,ENSDARG00000092362,ENSDARG00000103846
