Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	Cnt_1 count	Cnt_2 count	Cnt_3 count	Cnt_4 count	Cnt_6 count	Amp_1 count	Amp_2 count	Amp_3 count	Amp_4 count	Amp_5 count	Amp_6 count	Nic_1 count	Nic_4 count	Nic_5 count	Nic_6 count	Nic_7 count	Oxy_1 count	Oxy_2 count	Oxy_3 count	Oxy_4 count	Oxy_5 count	Oxy_6 count	Cnt_1 normalised count	Cnt_2 normalised count	Cnt_3 normalised count	Cnt_4 normalised count	Cnt_6 normalised count	Amp_1 normalised count	Amp_2 normalised count	Amp_3 normalised count	Amp_4 normalised count	Amp_5 normalised count	Amp_6 normalised count	Nic_1 normalised count	Nic_4 normalised count	Nic_5 normalised count	Nic_6 normalised count	Nic_7 normalised count	Oxy_1 normalised count	Oxy_2 normalised count	Oxy_3 normalised count	Oxy_4 normalised count	Oxy_5 normalised count	Oxy_6 normalised count
ENSDARG00000034503	1.1908559995986736e-76	2.5728443871329345e-72	1.298768505351568	2	48309600	48375342	-1	protein_coding	per2	period circadian clock 2 [Source:ZFIN;Acc:ZDB-GENE-011220-2]	575	760	717	571	737	1174	1340	1325	921	1068	812	932	1186	959	848	1007	1526	1720	1758	1401	1538	1709	633.7235883918166	715.1785490513751	597.1599853594845	573.4644463013545	677.0792036382019	1079.0433640719214	1330.2126744058457	1266.1709376706833	1065.0459753013688	1128.7078647598396	981.762780748495	980.8352437192393	1004.0478452909523	949.93202709503	951.0585324438364	986.1209504828255	1513.1802209717114	1732.9451874527895	1514.2182611752564	1550.9335043079077	1563.320256516374	1564.1627512463099
ENSDARG00000031683	1.9793744490576295e-47	2.1382192485945043e-43	-1.7263631087803881	20	46552311	46554440	-1	protein_coding	fosab	v-fos FBJ murine osteosarcoma viral oncogene homolog Ab [Source:ZFIN;Acc:ZDB-GENE-031222-4]	555	976	720	537	953	215	218	254	209	196	198	250	328	313	258	329	198	205	266	222	193	232	611.6810287955796	918.4398208870291	599.6585627040848	539.3177016879639	875.5176133883397	197.6101561119788	216.40773359736895	242.7225797497008	241.68795747881225	207.1411437199706	239.39535786724386	263.0995825427144	277.67933664033086	310.0403800633414	289.3550723708842	322.17854290849016	196.336621069724	206.5428857138499	229.11379833482263	245.75819982609244	196.17737939379725	212.33806804513978
ENSDARG00000099195	1.8756701111593495e-27	1.350795091719925e-23	-0.887762738100196	3	33761549	33762726	1	protein_coding	ier2a	immediate early response 2a [Source:NCBI gene;Acc:797137]	447	685	605	550	652	333	294	343	305	306	278	366	448	400	393	437	330	313	328	313	257	308	492.65120697589924	644.6017185528841	503.87976449440464	552.3738099224956	598.9900146161568	306.06596272227415	291.85263154874525	327.7710427328637	352.7025216796064	323.39382641995405	336.12075498532215	385.17778884253386	379.269337850208	396.2177381001168	440.7617962858817	427.9392803982073	327.22770178287334	315.35572306553667	282.51626260835275	346.4969213764276	261.2310181565072	281.897090335789
ENSDARG00000104773	2.040072334744348e-26	1.101894069803791e-22	-0.7515848887861996	3	7654655	7656059	-1	protein_coding	junbb	JunB proto-oncogene, AP-1 transcription factor subunit b [Source:ZFIN;Acc:ZDB-GENE-040426-2666]	794	1066	946	875	987	558	461	571	467	448	481	571	708	676	606	658	496	519	595	545	490	596	875.089615970613	1003.1320174852182	787.8847226639782	878.7765157857885	906.7532889971577	512.8672888859729	457.632867836638	545.6480040829888	540.0395987684465	473.46547135993274	581.5614501724459	600.9194465275597	599.3810071382751	669.6079773891973	679.6479606851001	644.3570858169803	491.8331517706218	522.9061350511614	512.4913910121032	603.3253103838756	498.0669217769982	545.4891748056177
ENSDARG00000055752	3.7298231044535903e-22	1.4101081023387304e-18	-0.7200467757923096	14	30636955	30642819	-1	protein_coding	npas4a	neuronal PAS domain protein 4a [Source:NCBI gene;Acc:724016]	682	748	825	578	793	433	405	463	360	334	382	521	608	633	479	520	430	419	528	366	392	443	751.6512822316852	703.8862561716165	687.1087697650972	580.4946584276408	728.526198758608	397.9776632394736	402.0418903987818	442.4431276539822	416.304615752978	352.98541837994986	461.863771238824	548.2995300190169	514.7226727967109	627.0145705434348	537.2134870761764	509.21836569123064	426.3876114140471	422.15350787367373	454.78227639393367	405.1689240376119	398.4535374215986	405.45587993102123
ENSDARG00000037421	4.533640608373387e-22	1.4101081023387304e-18	-0.6645391103885114	14	21332522	21336385	-1	protein_coding	egr1	early growth response 1 [Source:NCBI gene;Acc:30498]	1968	2827	2816	1927	2686	1753	1502	1770	1356	1348	1324	1551	2130	1760	1398	1620	1324	1434	1768	1363	1402	1696	2168.987864269731	2660.275997589786	2345.331267464865	1935.3169667648167	2467.618373096622	1611.2121100665063	1491.0294305653586	1691.4132525864977	1568.0807193362173	1424.6237843597976	1600.8053223041961	1632.2698100950001	1803.2225214753191	1743.3580476405139	1567.900740986419	1586.411062345757	1312.8772035167403	1444.7926737251744	1522.8315618645354	1508.8667854187568	1425.0812741456152	1552.2644974334357
ENSDARG00000078567	4.568737198042635e-22	1.4101081023387304e-18	0.6240977309464334	8	13700605	13788311	1	protein_coding	lonrf1l	LON peptidase N-terminal domain and ring finger 1, like [Source:ZFIN;Acc:ZDB-GENE-081104-397]	985	1139	1201	881	1138	1290	1346	1432	1054	1139	877	1061	1256	1143	1070	1163	1607	1549	1700	1585	1481	1677	1085.5960601146774	1071.826799170416	1000.2637969550082	884.802411894034	1045.476436553967	1185.6609366718728	1336.1688505599018	1368.420213392014	1218.8474027878856	1203.743687229829	1060.3521659069336	1116.5946283112798	1063.3086793300474	1132.1921866210837	1200.038478437388	1138.8864601901948	1593.499747772962	1560.6581949792853	1464.2611171774379	1754.624985244849	1505.3818594933355	1534.8747418607734
ENSDARG00000086881	8.817872888169981e-21	2.3813767968614055e-17	-0.9134943673792711	11	31038409	31039533	-1	protein_coding	ier2b	immediate early response 2b [Source:ZFIN;Acc:ZDB-GENE-030131-8244]	422	539	479	439	520	225	239	300	250	258	183	298	341	307	285	386	234	255	269	268	210	251	465.09800748060286	507.2121551824884	398.9395160211898	440.89473191995563	477.72209754662816	206.80132616369875	237.25435013656505	286.68021230279624	289.10042760623475	272.66538305996124	221.25934590760417	313.61470239091557	288.6849201047342	304.09711399183965	319.6364171538837	377.996709916952	232.03418853694654	256.91919930259377	231.69778854160634	296.6810700603278	213.45725219014207	229.7278236178021
ENSDARG00000045768	1.5229629195523652e-20	3.6559570974365387e-17	0.44829730932280715	4	12013043	12026507	1	protein_coding	cry1a	cryptochrome circadian regulator 1a [Source:ZFIN;Acc:ZDB-GENE-010426-2]	1388	1661	1833	1316	1619	1985	1942	2009	1533	1647	1408	1577	1962	1698	1553	1701	2017	2111	2180	1920	1915	2287	1529.7536359788548	1563.041539439913	1526.630757550816	1321.679879741826	1487.369376784598	1824.447255266409	1927.8156818628004	1919.8018217210588	1772.7638220814315	1740.6197127897528	1702.3669892781784	1659.6321666794424	1660.996519781491	1681.9442982349958	1741.7380906666012	1665.731615463045	2000.0553772607743	2126.8879597167665	1877.6995502628322	2125.4763228202587	1946.5268473529622	2093.1774207725634
ENSDARG00000020298	7.447336991573698e-19	1.6089971570294974e-15	-0.839975907920182	22	336256	339623	1	protein_coding	btg2	B-cell translocation gene 2 [Source:ZFIN;Acc:ZDB-GENE-000210-15]	1014	1357	1391	1127	1349	780	792	1199	732	876	720	736	1117	840	788	859	684	593	898	553	572	793	1117.557771529221	1276.9701198193632	1158.5070287796973	1131.8641523320957	1239.3213645969258	716.9112640341557	786.2152523353955	1145.765248503509	846.4860520310554	925.7940913198685	870.5285740627049	774.5651710057512	945.6335945952729	832.0572500102453	883.766655148282	841.1895694783983	678.2537818772284	597.4630791625024	773.4744018972584	612.18146172896	581.4168964417204	725.793482585327
