Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	Cnt_1 count	Cnt_2 count	Cnt_3 count	Cnt_4 count	Cnt_6 count	Amp_1 count	Amp_2 count	Amp_3 count	Amp_4 count	Amp_5 count	Amp_6 count	Nic_1 count	Nic_4 count	Nic_5 count	Nic_6 count	Nic_7 count	Oxy_1 count	Oxy_2 count	Oxy_3 count	Oxy_4 count	Oxy_5 count	Oxy_6 count	Cnt_1 normalised count	Cnt_2 normalised count	Cnt_3 normalised count	Cnt_4 normalised count	Cnt_6 normalised count	Amp_1 normalised count	Amp_2 normalised count	Amp_3 normalised count	Amp_4 normalised count	Amp_5 normalised count	Amp_6 normalised count	Nic_1 normalised count	Nic_4 normalised count	Nic_5 normalised count	Nic_6 normalised count	Nic_7 normalised count	Oxy_1 normalised count	Oxy_2 normalised count	Oxy_3 normalised count	Oxy_4 normalised count	Oxy_5 normalised count	Oxy_6 normalised count
ENSDARG00000031683	4.695157121293147e-44	1.0925630621249153e-39	-1.6631613469278141	20	46552311	46554440	-1	protein_coding	fosab	v-fos FBJ murine osteosarcoma viral oncogene homolog Ab [Source:ZFIN;Acc:ZDB-GENE-031222-4]	555	976	720	537	953	215	218	254	209	196	198	250	328	313	258	329	198	205	266	222	193	232	611.6810287955796	918.4398208870291	599.6585627040848	539.3177016879639	875.5176133883397	197.6101561119788	216.40773359736895	242.7225797497008	241.68795747881225	207.1411437199706	239.39535786724386	263.0995825427144	277.67933664033086	310.0403800633414	289.3550723708842	322.17854290849016	196.336621069724	206.5428857138499	229.11379833482263	245.75819982609244	196.17737939379725	212.33806804513978
ENSDARG00000034503	2.578972228394129e-32	3.0006341877365696e-28	0.8380043898964	2	48309600	48375342	-1	protein_coding	per2	period circadian clock 2 [Source:ZFIN;Acc:ZDB-GENE-011220-2]	575	760	717	571	737	1174	1340	1325	921	1068	812	932	1186	959	848	1007	1526	1720	1758	1401	1538	1709	633.7235883918166	715.1785490513751	597.1599853594845	573.4644463013545	677.0792036382019	1079.0433640719214	1330.2126744058457	1266.1709376706833	1065.0459753013688	1128.7078647598396	981.762780748495	980.8352437192393	1004.0478452909523	949.93202709503	951.0585324438364	986.1209504828255	1513.1802209717114	1732.9451874527895	1514.2182611752564	1550.9335043079077	1563.320256516374	1564.1627512463099
ENSDARG00000104773	4.2071411751321905e-28	3.263339171510869e-24	-0.7810846717604308	3	7654655	7656059	-1	protein_coding	junbb	JunB proto-oncogene, AP-1 transcription factor subunit b [Source:ZFIN;Acc:ZDB-GENE-040426-2666]	794	1066	946	875	987	558	461	571	467	448	481	571	708	676	606	658	496	519	595	545	490	596	875.089615970613	1003.1320174852182	787.8847226639782	878.7765157857885	906.7532889971577	512.8672888859729	457.632867836638	545.6480040829888	540.0395987684465	473.46547135993274	581.5614501724459	600.9194465275597	599.3810071382751	669.6079773891973	679.6479606851001	644.3570858169803	491.8331517706218	522.9061350511614	512.4913910121032	603.3253103838756	498.0669217769982	545.4891748056177
ENSDARG00000055752	2.520641388542563e-23	1.466383127784636e-19	-0.7447767069623249	14	30636955	30642819	-1	protein_coding	npas4a	neuronal PAS domain protein 4a [Source:NCBI gene;Acc:724016]	682	748	825	578	793	433	405	463	360	334	382	521	608	633	479	520	430	419	528	366	392	443	751.6512822316852	703.8862561716165	687.1087697650972	580.4946584276408	728.526198758608	397.9776632394736	402.0418903987818	442.4431276539822	416.304615752978	352.98541837994986	461.863771238824	548.2995300190169	514.7226727967109	627.0145705434348	537.2134870761764	509.21836569123064	426.3876114140471	422.15350787367373	454.78227639393367	405.1689240376119	398.4535374215986	405.45587993102123
ENSDARG00000087440	1.577919666315083e-22	7.343638127030396e-19	2.0679154766361965	7	22680560	22684292	1	protein_coding	ponzr4	plac8 onzin related protein 4 [Source:ZFIN;Acc:ZDB-GENE-050411-6]	16	12	20	15	25	75	58	78	57	72	65	15	14	9	6	11	16	23	21	12	11	20	17.63404767698968	11.292292879758554	16.65718229733569	15.064740270613518	22.967408535895586	68.93377538789959	57.576369489208254	74.53685519872703	65.91489749422152	76.09266503998919	78.58938515843863	15.785974952562864	11.852166807819	8.914899107252628	6.729187729555446	10.771926966545264	15.865585540987798	23.173104250822185	18.087931447486	13.284227017626618	11.181094162340775	18.305005865960325
ENSDARG00000059054	2.8637149033649037e-22	1.032640045218562e-18	0.7471237101803512	19	5674907	5687743	1	protein_coding	pdk2b	pyruvate dehydrogenase kinase, isozyme 2b [Source:ZFIN;Acc:ZDB-GENE-040426-939]	5497	5139	6604	5967	5477	9861	9092	9277	8789	8683	7383	5309	8112	5355	5471	6407	6738	5728	6611	5460	5795	8131	6058.397505025768	4835.924425756601	5500.201594580245	5992.753679650057	5031.6998620440045	9063.412788001036	9025.592265446232	8865.107765110135	10163.61463292479	9176.564035308696	8926.545086534654	5587.182734877083	6867.484081787694	5304.364968815314	6135.897678066308	6274.157824968683	6681.394710948487	5771.110484726499	5694.253085682378	6044.323293020111	5890.403697342254	7441.900134806171
ENSDARG00000099195	3.1063516615942993e-22	1.032640045218562e-18	-0.7928142909193941	3	33761549	33762726	1	protein_coding	ier2a	immediate early response 2a [Source:NCBI gene;Acc:797137]	447	685	605	550	652	333	294	343	305	306	278	366	448	400	393	437	330	313	328	313	257	308	492.65120697589924	644.6017185528841	503.87976449440464	552.3738099224956	598.9900146161568	306.06596272227415	291.85263154874525	327.7710427328637	352.7025216796064	323.39382641995405	336.12075498532215	385.17778884253386	379.269337850208	396.2177381001168	440.7617962858817	427.9392803982073	327.22770178287334	315.35572306553667	282.51626260835275	346.4969213764276	261.2310181565072	281.897090335789
ENSDARG00000079227	1.3304539418133014e-21	3.869957903249441e-18	-1.4893953760124043	12	30517386	30523229	-1	protein_coding	plekhs1	pleckstrin homology domain containing, family S member 1 [Source:ZFIN;Acc:ZDB-GENE-080204-50]	234	404	341	358	383	94	100	97	130	117	124	453	801	622	643	669	107	143	147	167	102	163	257.8979472759741	380.1738602852047	284.0049581695735	359.5451344586426	351.86069876992036	86.39699848616748	99.26960256760043	92.69326864457078	150.33222235524207	123.65058068998243	149.9243655330214	476.7364435673985	678.1132580759298	616.1185827456816	721.144618350692	655.1290127835256	106.1011033053559	144.0762568638075	126.61552013240198	184.8721593286371	103.67923677806901	149.18579780757665
ENSDARG00000098761	5.725884162984964e-21	1.4804591608073346e-17	-1.7197469456064138	22	24246213	24248420	-1	protein_coding	rgs2	regulator of G protein signaling 2 [Source:ZFIN;Acc:ZDB-GENE-040718-410]	144	163	195	167	122	39	26	57	52	38	50	129	254	242	152	183	42	42	56	51	47	74	158.70642909290714	153.38697828338704	162.40752739902297	167.7207750128305	112.08095365517046	35.84556320170778	25.81009666757611	54.46924033753128	60.13288894209683	40.160017659994296	60.45337319879895	135.75938459204062	215.03216922757326	239.71173155057065	170.47275581540464	179.2056940797985	41.64716204509297	42.316103414544855	48.23448385996266	56.45796482491313	47.77376596636513	67.72852170405321
ENSDARG00000086881	1.5314014591998862e-18	3.279367374630543e-15	-0.8602430487727452	11	31038409	31039533	-1	protein_coding	ier2b	immediate early response 2b [Source:ZFIN;Acc:ZDB-GENE-030131-8244]	422	539	479	439	520	225	239	300	250	258	183	298	341	307	285	386	234	255	269	268	210	251	465.09800748060286	507.2121551824884	398.9395160211898	440.89473191995563	477.72209754662816	206.80132616369875	237.25435013656505	286.68021230279624	289.10042760623475	272.66538305996124	221.25934590760417	313.61470239091557	288.6849201047342	304.09711399183965	319.6364171538837	377.996709916952	232.03418853694654	256.91919930259377	231.69778854160634	296.6810700603278	213.45725219014207	229.7278236178021
