Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	Cnt_1 count	Cnt_2 count	Cnt_3 count	Cnt_4 count	Cnt_6 count	Amp_1 count	Amp_2 count	Amp_3 count	Amp_4 count	Amp_5 count	Amp_6 count	Nic_1 count	Nic_4 count	Nic_5 count	Nic_6 count	Nic_7 count	Oxy_1 count	Oxy_2 count	Oxy_3 count	Oxy_4 count	Oxy_5 count	Oxy_6 count	Cnt_1 normalised count	Cnt_2 normalised count	Cnt_3 normalised count	Cnt_4 normalised count	Cnt_6 normalised count	Amp_1 normalised count	Amp_2 normalised count	Amp_3 normalised count	Amp_4 normalised count	Amp_5 normalised count	Amp_6 normalised count	Nic_1 normalised count	Nic_4 normalised count	Nic_5 normalised count	Nic_6 normalised count	Nic_7 normalised count	Oxy_1 normalised count	Oxy_2 normalised count	Oxy_3 normalised count	Oxy_4 normalised count	Oxy_5 normalised count	Oxy_6 normalised count
ENSDARG00000041294	4.8568569021569085e-37	1.0762794895179709e-32	1.5708665279262384	3	62161184	62169060	1	protein_coding	noxo1a	NADPH oxidase organizer 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9700]	78	106	96	89	114	60	41	69	46	57	49	226	380	251	232	301	84	70	71	57	52	78	85.9659824253247	99.7485871045339	79.95447502721132	89.38412560564021	104.73138292368387	55.14702031031967	40.70053705271618	65.93644882964313	53.194478679547196	60.24002648999144	59.24430573482297	237.8420226186138	321.70167049794424	248.62663065782328	260.1952588761439	294.75909244819314	83.29432409018594	70.52683902424143	61.15443489388123	63.10007833372644	52.85608149470185	71.38952287724527
ENSDARG00000060498	1.1230673527283708e-25	1.244358626823035e-21	1.592118291691776	23	30006206	30010042	1	protein_coding	tnfrsf9a	tumor necrosis factor receptor superfamily, member 9a [Source:ZFIN;Acc:ZDB-GENE-060421-8213]	30	50	52	38	48	45	35	44	36	41	43	96	155	142	110	129	39	44	30	36	33	33	33.063839394355654	47.05122033232731	43.30867397307279	38.16400868555424	44.09742438891952	41.36026523273975	34.744360898660155	42.04643113774345	41.6304615752978	43.33054536999384	51.9899009509671	101.03023969640233	131.22041822942464	140.65729702554145	123.36844170851651	126.32532533493992	38.67236475615776	44.33115595809461	25.83990206783714	39.85268105287985	33.543282487022324	30.203259678834538
ENSDARG00000031683	3.2126773486673298e-25	2.373097668215601e-21	-1.2778769479166197	20	46552311	46554440	-1	protein_coding	fosab	v-fos FBJ murine osteosarcoma viral oncogene homolog Ab [Source:ZFIN;Acc:ZDB-GENE-031222-4]	555	976	720	537	953	215	218	254	209	196	198	250	328	313	258	329	198	205	266	222	193	232	611.6810287955796	918.4398208870291	599.6585627040848	539.3177016879639	875.5176133883397	197.6101561119788	216.40773359736895	242.7225797497008	241.68795747881225	207.1411437199706	239.39535786724386	263.0995825427144	277.67933664033086	310.0403800633414	289.3550723708842	322.17854290849016	196.336621069724	206.5428857138499	229.11379833482263	245.75819982609244	196.17737939379725	212.33806804513978
ENSDARG00000077982	5.34427136943332e-18	2.960726338666059e-14	0.9348993468180784	22	661505	665371	1	protein_coding	elf3	E74-like factor 3 (ets domain transcription factor, epithelial-specific ) [Source:ZFIN;Acc:ZDB-GENE-030131-8760]	445	718	637	651	691	437	353	385	397	484	329	965	1229	1219	1028	1320	611	501	567	433	449	672	490.44695101627553	675.6555239722202	530.5312561701418	653.8097277446267	634.819171932154	401.6541312601616	350.42169706362955	367.90627245525513	459.09147903870075	511.51180387992736	397.7831956480971	1015.5643886148775	1040.450929057825	1207.4735568601059	1152.9341643304997	1292.6312359854317	605.8670478464716	504.77066215921366	488.37414908212196	479.3391915526938	456.3919344446371	615.048197096267
ENSDARG00000070480	1.2960109422936226e-17	5.743920496245335e-14	1.0698462356039453	19	30400372	30404096	-1	protein_coding	agr2	anterior gradient 2 [Source:NCBI gene;Acc:335616]	213	292	312	248	231	165	143	165	161	212	166	376	650	599	390	618	220	225	203	211	193	237	234.75325969992514	274.77912674079147	259.85204383843677	249.0703724741435	212.2188548716752	151.65430585337907	141.9555316716686	157.67411676653794	186.18067537841517	224.05062483996818	200.70519902001251	395.70177214424245	550.2791732201678	593.3360628049248	437.397202421104	605.1864423022703	218.15180118858223	226.69341114934747	174.85000399236463	233.58099172660135	196.17737939379725	216.91431951162986
ENSDARG00000007769	4.2786143072978604e-17	1.58023488416201e-13	1.678469530719787	7	56602521	56606752	-1	protein_coding	sult5a1	sulfotransferase family 5A, member 1 [Source:ZFIN;Acc:ZDB-GENE-060929-978]	54	195	129	170	151	74	46	70	76	68	42	381	480	396	468	400	56	61	67	49	33	65	59.514910909840175	183.4997592960765	107.4388258178152	170.73372306695322	138.72314755680932	68.01465838272759	45.6640171810962	66.89204953731912	87.88652999229537	71.8652947599898	50.78083348699112	400.9637637950967	406.3600048395085	392.25556071911564	524.8766429053248	391.70643514710054	55.529549393457295	61.45910257826753	57.709114618169615	54.24392698864202	33.543282487022324	59.49126906437106
ENSDARG00000102435	6.065262959333936e-17	1.9200889596977146e-13	1.05386976049234	7	45975537	45976956	1	protein_coding	plekhf1	pleckstrin homology domain containing, family F (with FYVE domain) member 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1289]	237	403	434	239	382	314	329	272	307	351	227	544	796	723	560	737	353	332	449	391	277	434	261.20433121540964	379.2328358785581	361.46085585218447	240.0315283117754	350.94200242848456	288.60273962400623	326.59699244740546	259.92339248786857	355.01532510045627	370.95174206994733	274.4583143225472	572.5046916129465	673.8803413588516	716.163561615961	628.057521425175	721.7191067585327	350.0344809980433	334.4987222292594	386.7372009486292	432.8443969910006	281.5602802698541	397.2186272913391
ENSDARG00000101482	9.744395330879657e-17	2.699197506653665e-13	0.9350178937810717	5	13870340	14004206	1	protein_coding	hk2	hexokinase 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2017]	104	126	153	153	144	127	114	115	122	121	82	188	296	245	229	294	139	141	136	136	136	123	114.62130990043293	118.56907523746482	127.42744457461804	153.6603507602579	132.29227316675858	116.7278596568433	113.1673469270645	109.89408138273855	141.08100867184257	127.87795096998184	99.14353204603027	197.85088607212123	250.58866965103027	242.68336458632152	256.8306650113662	287.9042298331189	137.8322743873315	142.06120432025773	117.14088937419504	150.554572866435	138.2389823707587	112.57578607565601
ENSDARG00000034503	2.271718055250632e-16	5.593474678261556e-13	0.608192119359507	2	48309600	48375342	-1	protein_coding	per2	period circadian clock 2 [Source:ZFIN;Acc:ZDB-GENE-011220-2]	575	760	717	571	737	1174	1340	1325	921	1068	812	932	1186	959	848	1007	1526	1720	1758	1401	1538	1709	633.7235883918166	715.1785490513751	597.1599853594845	573.4644463013545	677.0792036382019	1079.0433640719214	1330.2126744058457	1266.1709376706833	1065.0459753013688	1128.7078647598396	981.762780748495	980.8352437192393	1004.0478452909523	949.93202709503	951.0585324438364	986.1209504828255	1513.1802209717114	1732.9451874527895	1514.2182611752564	1550.9335043079077	1563.320256516374	1564.1627512463099
ENSDARG00000013670	1.0502675670501591e-14	2.3273929285831528e-11	0.5014985864942816	10	29770120	29791466	1	protein_coding	hyou1	hypoxia up-regulated 1 [Source:NCBI gene;Acc:327133]	382	477	492	434	485	413	396	380	297	349	304	536	753	656	530	623	496	496	483	399	411	449	421.01288828812864	448.8686419704025	409.766684514458	435.8731518297511	445.5677255963744	379.5953231360337	393.10762616769773	363.12826891687524	343.4513079962069	368.8380569299476	367.55650904869765	564.0855049715797	637.477257591979	649.7970904841915	594.4115827773977	610.082772741609	491.8331517706218	499.7330308003393	416.02242329217796	441.70054833608503	417.76633642927806	410.9473816908093
